"TIME_PERIOD","BETA0","BETA1","BETA2","BETA3","TAU1","TAU2"
"2015-05-15",1.75551550952416,-2.03651550952088,2.65997616777145,-6.14431046150406,1.34029319174116,1.84203465590181
"2015-05-18",1.81785082720268,-2.10485082720044,2.6451848681787,-6.1604865492091,1.42336056042345,1.92692335809107
"2015-05-19",1.72160371793758,-1.98960371791473,2.69819816346801,-6.10014136235768,1.40944417482693,1.87833988212425
"2015-05-20",1.70507486051841,-1.98307486052259,2.70813704124046,-6.08979882177592,1.40409439278058,1.86955189142343
"2015-05-21",1.76947293614327,-2.05647293618821,2.62005196212742,-6.19168306211707,1.36220008772174,1.86381434952156
"2015-05-22",1.74576054556691,-2.03376054560819,2.64903592560997,-6.15637069535919,1.37118269741563,1.87556907227224
"2015-05-25",1.74551616215684,-2.03551616215538,2.65530886476474,-6.14995320279232,1.37758559286794,1.88015639407967
"2015-05-26",1.71329672501631,-1.98929672506284,2.67490472841045,-6.12868497144008,1.41699692633962,1.90734953823936
"2015-05-27",1.68505578390546,-1.94705578390613,2.63944975408198,-6.17049860309448,1.32849805118574,1.86459183459181
"2015-05-28",1.65064895336177,-1.93264895334613,2.72416717453243,-6.07132814527403,1.44417004817245,1.9361486317794
"2015-05-29",1.61594400216576,-1.85994400217001,2.70766490312184,-6.08713224627232,1.4178217918776,1.91126977363222
"2015-06-01",1.56958802463828,-1.84858802463498,2.7582732040951,-6.03449809882248,1.37889788813947,1.88261512033589
"2015-06-02",1.77078806429242,-2.06078806428484,2.55237836265494,-6.11720527973353,1.2974063838242,1.81370695431534
"2015-06-03",2.07585794862548,-2.31685794862358,2.1929850807687,-6.38163902239526,1.25098669212765,1.81744644075226
"2015-06-04",2.05068131481634,-2.33268131482669,2.19815771944761,-6.38934709125596,1.20913709566987,1.77402261266079
"2015-06-05",2.08598561956536,-2.37798561956246,2.1808602808815,-6.4190306896981,1.18608885446794,1.7673238025189
"2015-06-08",2.13793463031393,-2.40293463044519,2.13263259502014,-6.47695363997601,1.20403402112226,1.78533450107331
"2015-06-09",2.24799979807183,-2.52799979807092,2.02874893490645,-6.59136526550452,1.14371871120164,1.76112684040481
"2015-06-10",2.29562250431551,-2.5536225043068,1.9201809295296,-6.75536852980709,1.09505994945229,1.74079822505687
"2015-06-11",2.22570406200526,-2.50470406201845,2.02756215760602,-6.61103053593945,1.16682763020534,1.78829312692642
"2015-06-12",2.14961758992906,-2.42061758996396,2.04888850282272,-6.59021929511886,1.12407953359513,1.74634208388681
"2015-06-15",2.04177413179595,-2.3207741317971,2.1848528870826,-6.41335432936911,1.14597290935121,1.72009202653729
"2015-06-16",2.084624168294,-2.3446241682865,2.10966193631299,-6.5146433118215,1.1243448450538,1.71864124392503
"2015-06-17",2.116161095694,-2.36473520467346,2.06808422956663,-6.56946606846155,1.12562167088381,1.74536388875758
"2015-06-18",2.10068346240886,-2.37368346240823,2.1192600673928,-6.50885786377653,1.17978606079628,1.77323297253339
"2015-06-19",2.05557754251907,-2.31872799243613,2.14131135171801,-6.48348265771406,1.16907610627398,1.7696951973383
"2015-06-22",2.24411149017782,-2.49311149018445,1.91409399384501,-6.68021840238061,1.12354274943591,1.76885764934026
"2015-06-23",2.28120939910314,-2.54120939909697,1.87153377839013,-6.75126604553791,1.12131877411855,1.7903480567965
"2015-06-24",2.21530840410353,-2.47630840410345,1.95042535295169,-6.64854417788835,1.17745923693373,1.83244074283321
"2015-06-25",2.28129270583411,-2.53929270582234,1.85229528485357,-6.78987247077637,1.12434395116838,1.81633603259254
"2015-06-26",2.40840041401097,-2.67140041399813,1.73415443467094,-6.93764572162854,1.11171506180192,1.82377557495153
"2015-06-29",2.28558934134681,-2.55958934133752,1.8677553877065,-6.75426358233325,1.16561153302265,1.85859804949716
"2015-06-30",2.26122272084889,-2.54122272084907,1.86986762035414,-6.75562788991453,1.17231132516696,1.87744781210614
"2015-07-01",2.37707563148884,-2.65107563146185,1.70957100515176,-6.98265080586446,1.10570542296651,1.86110528485732
"2015-07-02",2.42910209508496,-2.70910209510578,1.60874801831484,-7.15603707599927,1.05046789366543,1.83177747838401
"2015-07-03",2.33817255554449,-2.614172555575,1.65402572607156,-7.09538386561337,1.02730368060058,1.80469215227473
"2015-07-06",2.26871576086098,-2.58271576086365,1.7744974849908,-6.93169456858825,1.07847709952568,1.83625397357334
"2015-07-07",2.06368780447966,-2.33768780447308,1.91061349036418,-6.6573967263551,1.10730933142575,1.8211691202547
"2015-07-08",2.02375401015501,-2.32675401016213,1.98469722866941,-6.56493318383171,1.10755781408147,1.78896422128381
"2015-07-09",2.11710588604438,-2.39210588604121,1.8535843892677,-6.75102690966176,1.06010359975642,1.78757344608182
"2015-07-10",1.01669350141571,-1.26474320178229,-10.8113882301537,12.2807895260732,4.31153935216232,6.11110061648644
"2015-07-13",1.06863325864453,-1.31218275832017,-10.8440454812427,12.2533468239852,4.37824788131303,6.21246754941969
"2015-07-14",1.04462283848142,-1.28672547345723,-10.8684682859233,12.2297092336508,4.39469837869986,6.22333925472176
"2015-07-15",0.972016257542859,-1.19945291526534,-10.9347601581194,12.1652070270832,4.41528166883741,6.22213328235542
"2015-07-16",1.05238489363611,-1.29943723105793,-10.9133792976423,12.1845763436383,4.51065028386427,6.27343482148218
"2015-07-17",1.00507877868425,-1.26087323558967,-10.9698778319879,12.1199313321329,4.61234118117866,6.2754703214202
"2015-07-20",0.985742796219989,-1.2188050798265,-11.0072680765658,12.0836875556415,4.63288769662201,6.29769085978157
"2015-07-21",1.00930753685154,-1.24861644220442,-10.989652471165,12.1013668611448,4.63127935590782,6.30551996611716
"2015-07-22",0.987873657146763,-1.22446662240457,-11.0044281980875,12.0859315731179,4.63975937708559,6.30045447538541
"2015-07-23",0.949513318509195,-1.17058937815312,-11.0061528544912,12.0850308510287,4.59137979836092,6.27182233375845
"2015-07-24",0.919163254252943,-1.14484171921074,-11.0399145436962,12.0471360826327,4.64506282551637,6.28392520411595
"2015-07-27",0.92480667192229,-1.15053975956783,-11.0623448562888,12.0244607308426,4.70690757498695,6.31729329340986
"2015-07-28",0.943517596590513,-1.18668183744936,-11.0212638702364,12.0634697957588,4.6916654301257,6.31088041690524
"2015-07-29",0.92935354866382,-1.16342402204583,-11.0214715050393,12.065574748019,4.65369630517455,6.30911895659034
"2015-07-30",0.918760898719281,-1.15251706296931,-11.0662014175415,12.0223779499707,4.70106363476527,6.34830261844643
"2015-07-31",0.893785999490722,-1.14380986022594,-11.0433993914165,12.0373696749629,4.73924423081402,6.29810028325099
"2015-08-03",0.865394622895028,-1.09769135177963,-11.0759540021032,12.0064872975278,4.74068876328543,6.31189541394095
"2015-08-04",0.885250788973726,-1.11407256415067,-11.0652274151597,12.0202363801502,4.71681015807081,6.33932789880066
"2015-08-05",0.954263681262592,-1.18282096989111,-10.9744315299841,12.0975742232807,4.6341556846952,6.37699835679349
"2015-08-06",0.92786414124449,-1.1537542035015,-10.9949539706037,12.0774603077704,4.64753534275381,6.38418358476336
"2015-08-07",0.930031430287251,-1.17450572546741,-11.0294358648159,12.0458849745593,4.73434097358435,6.45796288814501
"2015-08-10",0.892694694929556,-1.13269420193551,-11.0002854599288,12.0751826968901,4.68827808468569,6.42057281268363
"2015-08-11",0.896595292072051,-1.12500162239238,-11.1077715926269,11.9830844807848,4.69628137614183,6.34859483751312
"2015-08-12",0.805068180224968,-1.03983057560407,-11.0166669046166,12.0561855061009,4.71504869203972,6.41150847176463
